Date      , Firm_Id, Industry       , Revenue               , Cost_Of_Goods_Sold   , Operating_Expenses    , Market_Share
2010-03-31,       1, Banking        ,  2938745.5227842177   , 1860222.969344502    ,  661156.7247491084    , 0.24215344137595937
2010-06-30,       1, Banking        ,  1385230.6236040855   ,  695398.7887486817   ,  219779.43175475948   , 0.24215344137595937
2010-09-30,       1, Banking        ,  2698647.9120513485   , 1558595.3643207557   ,  354038.99135429336   , 0.24215344137595937
2010-12-31,       1, Banking        ,  1623402.6754614187   , 1007013.0732706281   ,  169965.37995862082   , 0.24215344137595937
2011-03-31,       1, Banking        ,  2005295.5949293717   , 1140100.9259951392   ,  479263.30072971864   , 0.24215344137595937
2011-06-30,       1, Banking        ,  3478714.58120566     , 2324413.0704890294   ,  518262.77819101093   , 0.24215344137595937
2011-09-30,       1, Banking        ,  2946207.038348556    , 2175336.7022173847   ,  667846.4391997302    , 0.24215344137595937
2011-12-31,       1, Banking        ,  6225848.760119647    , 4197442.536387228    , 1126591.1150040966    , 0.24215344137595937
2012-03-31,       1, Banking        ,  2587345.0263873143   , 1635487.374353964    ,  365850.2692726807    , 0.24215344137595937
2012-06-30,       1, Banking        ,  2227043.9701702213   , 1200114.0238964404   ,  277912.9080333345    , 0.24215344137595937
2012-09-30,       1, Banking        ,  2114653.612660026    , 1202105.414391805    ,  304559.2356070771    , 0.24215344137595937
2012-12-31,       1, Banking        ,  1927425.894833638    ,  875482.9971438533   ,  250230.6892781244    , 0.24215344137595937
2013-03-31,       1, Banking        ,  3122205.065220135    , 1972571.6701236423   ,  746035.7007438494    , 0.24215344137595937
2013-06-30,       1, Banking        ,  2821906.4635196556   , 1821041.4485377716   ,  669480.2396934918    , 0.24215344137595937
2013-09-30,       1, Banking        ,  2011787.6568340776   ,  962887.9139830882   ,  313079.9030885965    , 0.24215344137595937
2013-12-31,       1, Banking        ,  3428809.7927331375   , 2230963.2378049744   ,  685379.143908814     , 0.24215344137595937
2014-03-31,       1, Banking        ,  1146419.524785845    ,  708914.9126184806   ,  180491.1793460298    , 0.24215344137595937
2014-06-30,       1, Banking        ,  2777321.3522599544   , 2059421.6337490052   ,  631388.1087804228    , 0.24215344137595937
2014-09-30,       1, Banking        ,  1481123.0346004642   ,  780285.9729521998   ,  157095.37158558908   , 0.24215344137595937
2014-12-31,       1, Banking        ,  2944647.2145870305   , 1952886.696151251    ,  343444.8734527274    , 0.24215344137595937
2015-03-31,       1, Banking        ,  1238646.106905843    ,  890250.9752543246   ,  212186.93213310698   , 0.24215344137595937
2015-06-30,       1, Banking        ,  1923186.079131166    , 1190418.8572309124   ,  392959.6361970942    , 0.24215344137595937
2015-09-30,       1, Banking        ,  2423871.1793395295   , 1483293.609491586    ,  316216.25547535217   , 0.24215344137595937
2015-12-31,       1, Banking        ,  1426265.4223037055   , 1045247.273831398    ,  270747.70835002715   , 0.24215344137595937
2016-03-31,       1, Banking        ,  2852792.2973393328   , 1818102.2596013148   ,  411786.4550027133    , 0.24215344137595937
2016-06-30,       1, Banking        ,  2486000.2523356057   , 1197377.7405184258   ,  418841.78384662693   , 0.24215344137595937
2016-09-30,       1, Banking        ,  1822847.5928081786   , 1303307.0048872535   ,  270969.49039763515   , 0.24215344137595937
2016-12-31,       1, Banking        ,  1229748.1482672875   ,  598427.8975859474   ,  188698.30581774842   , 0.24215344137595937
2017-03-31,       1, Banking        ,  1940667.185765691    , 1250385.5226383351   ,  194218.20036042464   , 0.24215344137595937
2017-06-30,       1, Banking        ,  2587489.2130748467   , 1438050.5796729203   ,  377041.65398217674   , 0.24215344137595937
2017-09-30,       1, Banking        ,  2263949.012945246    , 1348066.1563566932   ,  461540.882272972     , 0.24215344137595937
2017-12-31,       1, Banking        ,  1305424.4728448614   ,  692950.2489282393   ,  178345.56196272772   , 0.24215344137595937
2018-03-31,       1, Banking        ,  1773680.3330126796   , 1095124.5132936542   ,  284809.4744559867    , 0.24215344137595937
2018-06-30,       1, Banking        ,  1713219.5947278882   ,  804301.2184154592   ,  236573.88885615312   , 0.24215344137595937
2018-09-30,       1, Banking        ,  2984568.4049711144   , 1980801.8717805895   ,  364753.1763463246    , 0.24215344137595937
2018-12-31,       1, Banking        ,  1411233.2334423198   , 1057468.314304622    ,  197596.85835374182   , 0.24215344137595937
2019-03-31,       1, Banking        ,  2097098.0817402964   ,  964487.3253528887   ,  318257.04601910274   , 0.24215344137595937
2019-06-30,       1, Banking        ,  2470119.8644321295   , 1581631.0962672797   ,  499225.5951001137    , 0.24215344137595937
2019-09-30,       1, Banking        ,   791996.8114674393   ,  487765.43424841005  ,  149611.76846869546   , 0.24215344137595937
2019-12-31,       1, Banking        ,  3890108.9619556824   , 1844907.507691304    ,  604710.3130482666    , 0.24215344137595937
2020-03-31,       1, Banking        ,  2878988.4195078607   , 1701741.8128557405   ,  712588.4170676311    , 0.24215344137595937
2020-06-30,       1, Banking        ,  1679805.4773384104   ,  956896.709676724    ,  373697.557609978     , 0.24215344137595937
2020-09-30,       1, Banking        ,  1802518.4133804783   , 1085944.5818409892   ,  368384.1508140255    , 0.24215344137595937
2020-12-31,       1, Banking        ,  2503266.275797123    , 1771080.0186958185   ,  372720.9177828568    , 0.24215344137595937
2021-03-31,       1, Banking        ,  2867834.0415208847   , 1986979.7157142714   ,  436770.8322734449    , 0.24215344137595937
2021-06-30,       1, Banking        ,  1470668.4764295267   ,  704233.9609518469   ,  354546.53510797024   , 0.24215344137595937
2021-09-30,       1, Banking        ,  2553617.241140938    , 1790885.0493703082   ,  514179.8139951006    , 0.24215344137595937
2021-12-31,       1, Banking        ,   801256.7852340236   ,  537294.6246018393   ,  105253.68673079749   , 0.24215344137595937
2022-03-31,       1, Banking        ,  4550483.042355503    , 2359721.268615554    ,  574467.7185745405    , 0.24215344137595937
2022-06-30,       1, Banking        ,  2521503.4217934404   , 1877638.7913517582   ,  447555.21732851904   , 0.24215344137595937
2022-09-30,       1, Banking        ,  2206561.8572713872   , 1577230.3423890527   ,  283115.27184644877   , 0.24215344137595937
2022-12-31,       1, Banking        ,  2629895.9684718144   , 1403473.9795836548   ,  539269.8318771403    , 0.24215344137595937
2023-03-31,       1, Banking        ,  2247437.0170369954   , 1284078.619242663    ,  524024.80908979505   , 0.24215344137595937
2023-06-30,       1, Banking        ,  2244788.2642157455   , 1583200.977541272    ,  539524.194614087     , 0.24215344137595937
2023-09-30,       1, Banking        ,  2794141.9587549795   , 1744120.1375927208   ,  435445.8306612307    , 0.24215344137595937
2023-12-31,       1, Banking        ,  3344712.4633129616   , 2448463.421140588    ,  822965.0818121901    , 0.24215344137595937
2024-03-31,       1, Banking        ,  1450854.9809616609   ,  864251.281396967    ,  242675.25831142525   , 0.24215344137595937
2024-06-30,       1, Banking        ,  1389202.1366461832   , 1039591.6910495906   ,  175579.57420102652   , 0.24215344137595937
2010-03-31,       2, Banking        ,    91577.29222076065  ,   56395.99716853011  ,   17019.078424825842  , 0.01084534347553974
2010-06-30,       2, Banking        ,   110482.99078029925  ,   82210.33544873547  ,   12296.971034178196  , 0.01084534347553974
2010-09-30,       2, Banking        ,    65918.40168793022  ,   34972.51079744708  ,   11390.171221335191  , 0.01084534347553974
2010-12-31,       2, Banking        ,    75903.76777810809  ,   42643.19672430584  ,   12084.162193916864  , 0.01084534347553974
2011-03-31,       2, Banking        ,    60894.159561680215 ,   32045.496343125567 ,    8786.636787404816  , 0.01084534347553974
2011-06-30,       2, Banking        ,   168017.2055921938   ,   91865.96593718605  ,   38190.38967128097   , 0.01084534347553974
2011-09-30,       2, Banking        ,   113941.03124788341  ,   70170.12754054296  ,   16461.80385619157   , 0.01084534347553974
2011-12-31,       2, Banking        ,    72020.69853788681  ,   41479.18749627704  ,    9969.900310978157  , 0.01084534347553974
2012-03-31,       2, Banking        ,    71883.35983648314  ,   32459.323533363    ,   13958.610009008944  , 0.01084534347553974
2012-06-30,       2, Banking        ,   104205.38903401767  ,   52965.74293677766  ,   11529.40278156288   , 0.01084534347553974
2012-09-30,       2, Banking        ,    77157.38509133249  ,   55243.54152814923  ,    8035.364194499086  , 0.01084534347553974
2012-12-31,       2, Banking        ,    91572.52907330377  ,   57110.07482500096  ,   15180.08056402515   , 0.01084534347553974
2013-03-31,       2, Banking        ,    59630.8204496153   ,   29607.446845119943 ,   14745.27870310194   , 0.01084534347553974
2013-06-30,       2, Banking        ,   155831.83340830615  ,  109344.08875427373  ,   35694.947712502944  , 0.01084534347553974
2013-09-30,       2, Banking        ,   111051.39266982762  ,   60855.64929705611  ,   24895.54013980194   , 0.01084534347553974
2013-12-31,       2, Banking        ,    45426.70835174937  ,   24142.60901086533  ,   11119.902842947999  , 0.01084534347553974
2014-03-31,       2, Banking        ,   156394.97686978008  ,   79497.7578675736   ,   25289.55035697295   , 0.01084534347553974
2014-06-30,       2, Banking        ,    90715.73906908077  ,   59859.11273736412  ,   10954.19436158413   , 0.01084534347553974
2014-09-30,       2, Banking        ,    57114.58637959285  ,   38450.27021191885  ,    7860.627926714949  , 0.01084534347553974
2014-12-31,       2, Banking        ,    43466.27879292368  ,   21963.515120639055 ,    4873.914916361457  , 0.01084534347553974
2015-03-31,       2, Banking        ,   196515.57454716545  ,   91862.7929031166   ,   46629.62018241217   , 0.01084534347553974
2015-06-30,       2, Banking        ,    73498.05843753151  ,   42827.7353061139   ,    9993.39164414298   , 0.01084534347553974
2015-09-30,       2, Banking        ,   103727.52020424526  ,   62756.070536412    ,   20596.831310940448  , 0.01084534347553974
2015-12-31,       2, Banking        ,   121435.60365187895  ,   70517.8820770596   ,   25441.475129631333  , 0.01084534347553974
2016-03-31,       2, Banking        ,    99768.40828446158  ,   49644.154796390365 ,   11775.136174990934  , 0.01084534347553974
2016-06-30,       2, Banking        ,    76025.75497702995  ,   42009.08767168642  ,    8649.439490400942  , 0.01084534347553974
2016-09-30,       2, Banking        ,    86139.08927912074  ,   64074.833638034404 ,   10879.327393611584  , 0.01084534347553974
2016-12-31,       2, Banking        ,    75689.15515442741  ,   34449.79260924162  ,   16235.676753259686  , 0.01084534347553974
2017-03-31,       2, Banking        ,    77364.1963560914   ,   45598.62319197926  ,   15276.802451258445  , 0.01084534347553974
2017-06-30,       2, Banking        ,   149447.29052393493  ,   69405.96353779329  ,   36221.81773719709   , 0.01084534347553974
2017-09-30,       2, Banking        ,    84645.08786356339  ,   38478.92578588084  ,   20316.128533220548  , 0.01084534347553974
2017-12-31,       2, Banking        ,   118874.56450539027  ,   71361.82342750294  ,   21505.19534292693   , 0.01084534347553974
2018-03-31,       2, Banking        ,   142206.24080154658  ,  104260.99140331353  ,   34362.39457985863   , 0.01084534347553974
2018-06-30,       2, Banking        ,   178754.8282901978   ,  126944.4716689092   ,   34939.515196728666  , 0.01084534347553974
2018-09-30,       2, Banking        ,   122898.72881522831  ,   76444.25213666134  ,   14658.752391236138  , 0.01084534347553974
2018-12-31,       2, Banking        ,   145653.4797461418   ,  100990.47922362472  ,   32494.697263487673  , 0.01084534347553974
2019-03-31,       2, Banking        ,   151871.11364417913  ,   98024.51648716048  ,   19895.518950515256  , 0.01084534347553974
2019-06-30,       2, Banking        ,   115235.89808598164  ,   61327.201102941384 ,   15232.845297959373  , 0.01084534347553974
2019-09-30,       2, Banking        ,    81517.82472824964  ,   51802.6346620171   ,   12267.057597952895  , 0.01084534347553974
2019-12-31,       2, Banking        ,    92172.1244048823   ,   59609.26047922034  ,   14545.636234417128  , 0.01084534347553974
2020-03-31,       2, Banking        ,    61451.27362557324  ,   32459.076367702222 ,   10717.447362404857  , 0.01084534347553974
2020-06-30,       2, Banking        ,   160933.84972260706  ,  105873.08623316474  ,   24502.25758535382   , 0.01084534347553974
2020-09-30,       2, Banking        ,   115316.98488160053  ,   70849.78280953878  ,   18856.707325951418  , 0.01084534347553974
2020-12-31,       2, Banking        ,    93385.17284712882  ,   57950.73727073454  ,   17405.939685820704  , 0.01084534347553974
2021-03-31,       2, Banking        ,    75348.73757856071  ,   39558.459057044674 ,   14096.362523691969  , 0.01084534347553974
2021-06-30,       2, Banking        ,   112319.22541280536  ,   79761.81113507514  ,   20698.18728830711   , 0.01084534347553974
2021-09-30,       2, Banking        ,   130845.41016267365  ,   87924.53414631079  ,   17760.357077798755  , 0.01084534347553974
2021-12-31,       2, Banking        ,    61791.124153802884 ,   34808.09361987044  ,   11131.61670373752   , 0.01084534347553974
2022-03-31,       2, Banking        ,    36074.56328484778  ,   19454.671159771355 ,    4148.4929994021295 , 0.01084534347553974
2022-06-30,       2, Banking        ,    93467.3738481381   ,   43560.05729960163  ,   22785.59085053418   , 0.01084534347553974
